"","animalN","name","DOB","species","breed","color","gender","licenseN","licenseStatus","statusDT","licenseType","licenseIssuer","licenseCost","licenseLength","expireD","renewal","rabiesVac","vacDate","reVacD","provider"
"393","A19130787","Mac","10/16/2008","Dog","Retriever, Labrador / Mix","Black","No / Male","0972","Expired","4/27/2016 1:00:00 AM","Dog License No S/N","DC Department of Health","$50.00","","6/30/2013","No","","","",""
"396","A19112955","Cassie","5/1/2009","Dog","Terrier, Jack Russell / Mix","Blond / White","No / Female","0669","Expired","4/27/2016 1:00:00 AM","Dog License No S/N","DC Department of Health","$50.00","","6/30/2013","No","","","",""
"399","A19136105","Heaven","2/12/2012","Dog","Terrier, Pit Bull / Mix","Brown / White","No / Female","1047","Expired","4/27/2016 1:00:00 AM","Dog License No S/N","DC Department of Health","$50.00","","6/30/2013","No","","","",""
"402","A19136175","Buddha","2/12/2011","Dog","Terrier, Pit Bull / Mix","Black","No / Male","1049","Expired","4/27/2016 1:00:00 AM","Dog License No S/N","DC Department of Health","$50.00","","6/30/2013","No","","","",""
"405","A19130912","Canto","1/6/2008","Dog","German Shepherd / Mix","Black / Tan","No / Male","0976","Expired","4/27/2016 1:00:00 AM","Dog License No S/N","DC Department of Health","$50.00","","6/30/2013","No","","","",""
"408","A19145220","Ryoko","1/1/2000","Dog","Schnauzer, Miniature / Mix","Silver","No / Female","1151","Expired","4/27/2016 1:00:00 AM","Dog License No S/N","DC Department of Health","$50.00","","6/30/2013","No","","","",""
"411","A19136135","Queen Bee","2/12/2012","Dog","Terrier, Pit Bull / Mix","Brindle","No / Female","1048","Expired","4/27/2016 1:00:00 AM","Dog License No S/N","DC Department of Health","$50.00","","6/30/2013","No","","","",""
"414","A19251757","Peebles","8/28/2012","Dog","Terrier, Yorkshire / Mix","Brown / Black","No / Female","4699","Expired","4/27/2016 1:00:00 AM","Dog License No S/N","National Capital Area Spay and Neuter Center","$50.00","","6/30/2013","No","","","",""
"417","A19195674","Maddie","2/19/2010","Dog","Chihuahua, Short Coat / Mix","Black","Yes / Female","1432","Expired","4/27/2016 1:00:00 AM","Dog License No S/N","DC Department of Health","$50.00","","6/30/2013","No","","","",""
"420","A19144609","Pharoah","2/13/2012","Dog","Retriever, Labrador / Border Collie","Black / White","No / Male","1140","Expired","4/27/2016 1:00:00 AM","Dog License No S/N","DC Department of Health","$50.00","","6/30/2013","No","","","",""
"423","A19193694","Smokey","","Dog","Chow Chow / Mix","Black","No / Male","1408","Expired","4/27/2016 1:00:00 AM","Dog License No S/N","DC Department of Health","$50.00","","6/30/2013","No","","","",""
"426","A19196268","Lucy","","Dog","Terrier, Jack Russell / Mix","Brindle","No / Female","1446","Expired","4/27/2016 1:00:00 AM","Dog License No S/N","DC Department of Health","$50.00","","6/30/2013","No","","","",""
"429","A19130696","Sam","1/4/2010","Dog","Retriever, Golden / Mix","Golden","Yes / Male","0969","Expired","4/27/2016 1:00:00 AM","Dog License No S/N","DC Department of Health","$50.00","","6/30/2013","No","","","",""
"432","A19130746","Cruz","4/25/2009","Dog","German Shepherd / Mix","Black / Tan","No / Male","0971","Expired","4/27/2016 1:00:00 AM","Dog License No S/N","DC Department of Health","$50.00","","6/30/2013","No","","","",""
"435","A19271318","Pepsi","3/2/2009","Dog","Retriever, Labrador / Mix","Tan","No / Male","4287","Expired","4/27/2016 1:00:00 AM","Dog License No S/N","WHS-WARL","$50.00","","6/30/2013","No","","","",""
"438","A19130889","Miquel","11/12/2002","Dog","German Shepherd / Mix","Black / Tan","No / Male","0975","Expired","4/27/2016 1:00:00 AM","Dog License No S/N","DC Department of Health","$50.00","","6/30/2013","No","","","",""
"441","A19142721","Buster","","Dog","Boxer / Mix","Tan / White","No / Male","1119","Expired","4/27/2016 1:00:00 AM","Dog License No S/N","DC Department of Health","$50.00","","6/30/2013","No","","","",""
"444","A19137934","Red","10/1/2002","Dog","Shepherd / Mix","Brown / Black","No / Male","1065","Inactive","4/12/2014 12:00:25 PM","Dog License No S/N","DC Department of Health","$50.00","","6/30/2013","No","","","",""
"447","A19251642","Lola","2/27/2009","Dog","Poodle, Miniature","Apricot","No / Female","4688","Expired","4/27/2016 1:00:00 AM","Dog License No S/N","National Capital Area Spay and Neuter Center","$50.00","","6/30/2013","No","","","",""
"450","A19198999","Luna","2/20/2012","Dog","Terrier, Pit Bull / Mix","Tan / White","No / Female","1465","Expired","4/27/2016 1:00:00 AM","Dog License No S/N","DC Department of Health","$50.00","","6/30/2013","No","","","",""
"453","A19246428","Shocker","12/7/2005","Dog","Retriever, Labrador / Mix","Yellow","No / Male","2043","Inactive","12/17/2013 3:11:32 PM","Dog License No S/N","DC Department of Health","$50.00","","6/30/2013","No","","","",""
"456","A19251127","Sugar Baby","2/27/2012","Dog","Spaniel, American Cocker / Mix","Black / White","No / Female","4645","Expired","4/27/2016 1:00:00 AM","Dog License No S/N","National Capital Area Spay and Neuter Center","$50.00","","6/30/2013","No","","","",""
"459","A19250255","King","2/27/2012","Dog","Terrier, Pit Bull / Mix","Brindle / Brindle","No / Male","4611","Expired","4/27/2016 1:00:00 AM","Dog License No S/N","National Capital Area Spay and Neuter Center","$50.00","","6/30/2013","No","","","",""
"462","A19345754","Kodiak","3/5/2004","Dog","Border Collie","Black / White","Yes / Female","3308","Inactive","1/23/2014 11:34:29 AM","Dog License No S/N","DC Department of Health","$50.00","","6/30/2013","No","","","",""
"465","A19250512","Ashby","2/27/2010","Dog","Shih Tzu / Poodle, Miniature","White","No / Female","4621","Expired","4/27/2016 1:00:00 AM","Dog License No S/N","National Capital Area Spay and Neuter Center","$50.00","","6/30/2013","No","","","",""
"468","A19238241","Luna Olive Petrovi","2/26/2012","Dog","Terrier, Fox, Wire / Australian Cattle Dog","Black / Brown","No / Female","4548","Expired","4/27/2016 1:00:00 AM","Dog License No S/N","National Capital Area Spay and Neuter Center","$50.00","","6/30/2013","No","","","",""
"471","A19238409","Lox","2/26/2012","Dog","Chinese Shar-Pei / Mix","Black / Brown","No / Male","4559","Expired","4/27/2016 1:00:00 AM","Dog License No S/N","National Capital Area Spay and Neuter Center","$50.00","","6/30/2013","No","","","",""
"474","A19240247","Lalati Savage","2/26/2009","Dog","Terrier, Pit Bull / Mix","Black / Black","No / Female","4597","Expired","4/27/2016 1:00:00 AM","Dog License No S/N","National Capital Area Spay and Neuter Center","$50.00","","6/30/2013","No","","","",""
"477","A19144886","Hideyoshi","","Dog","Shih Tzu / Mix","Black","Yes / Male","1145","Expired","4/27/2016 1:00:00 AM","Dog License No S/N","DC Department of Health","$50.00","","6/30/2013","No","","","",""
"480","A19150459","Atlanta","2/14/2009","Dog","Chihuahua, Short Coat / Mix","Black / Brown","No / Female","1217","Expired","4/27/2016 1:00:00 AM","Dog License No S/N","DC Department of Health","$50.00","","6/30/2013","No","","","",""
"483","A19161675","Beatrice","8/16/2008","Dog","Terrier, Boston / Mix","Black / White","No / Female","1346","Expired","4/27/2016 1:00:00 AM","Dog License No S/N","DC Department of Health","$50.00","","6/30/2013","No","","","",""
"486","A19162881","Liza","2/15/2005","Dog","Terrier, Parson Russell / Mix","Black / Brown","No / Female","1359","Expired","4/27/2016 1:00:00 AM","Dog License No S/N","DC Department of Health","$50.00","","6/30/2013","No","","","",""
"489","A19191223","Lenex","2/19/2004","Dog","Miniature Pinscher / Mix","Black / Tan","No / Female","1389","Expired","4/27/2016 1:00:00 AM","Dog License No S/N","DC Department of Health","$50.00","","6/30/2013","No","","","",""
"492","A19151695","Chico","2/14/2011","Dog","Chihuahua, Short Coat / Mix","Brown","No / Male","1245","Expired","4/27/2016 1:00:00 AM","Dog License No S/N","DC Department of Health","$50.00","","6/30/2013","No","","","",""
"495","A19238866","Sky","8/27/2010","Dog","Terrier, Pit Bull / Mix","Grey / White","No / Female","4562","Expired","4/27/2016 1:00:00 AM","Dog License No S/N","National Capital Area Spay and Neuter Center","$50.00","","6/30/2013","No","","","",""
"498","A19241899","Maggie","5/31/1999","Dog","Foxhound, American","Black / Brown","Yes / Female","2010","Expired","4/27/2016 1:00:00 AM","Dog License No S/N","DC Department of Health","$50.00","","6/30/2013","No","","","",""
"501","A19240104","Polar","2/26/2006","Dog","Terrier, Pit Bull / Mix","White","No / Female","4593","Expired","4/27/2016 1:00:00 AM","Dog License No S/N","National Capital Area Spay and Neuter Center","$50.00","","6/30/2013","No","","","",""
"504","A19405803","Rover","3/13/2012","Dog","German Shepherd / Mix","Black / Tan","No / Male","2459","Expired","4/27/2016 1:00:00 AM","Dog License No S/N","DC Department of Health","$50.00","","6/30/2013","No","","","",""
"507","A19250476","Zoe Sabastin","2/27/2011","Dog","Cane Corso / Perro de Presa Canario","Brindle / Brindle","No / Male","4620","Expired","4/27/2016 1:00:00 AM","Dog License No S/N","National Capital Area Spay and Neuter Center","$50.00","","6/30/2013","No","","","",""
"510","A19249975","Cashew","2/27/2008","Dog","Beagle","Brown / Black","No / Male","4607","Expired","4/27/2016 1:00:00 AM","Dog License No S/N","National Capital Area Spay and Neuter Center","$50.00","","6/30/2013","No","","","",""
"513","A19250350","Doughboy","8/27/2012","Dog","Bulldog","White / Tan","No / Male","4617","Expired","4/27/2016 1:00:00 AM","Dog License No S/N","National Capital Area Spay and Neuter Center","$50.00","","6/30/2013","No","","","",""
"516","A19435827","Target","","Dog","Terrier, Pit Bull / Mix","Black / White","No / Male","3188","Expired","4/27/2016 1:00:00 AM","Dog License No S/N","DC Department of Health","$50.00","","6/30/2013","No","","","",""
"519","A19559845","Lola","","Dog","Retriever, Labrador / Mix","Yellow","No / Female","2489","Inactive","12/17/2013 2:47:53 PM","Dog License No S/N","DC Department of Health","$50.00","","6/30/2013","No","","","",""
"522","A19564789","Pabb","4/3/2004","Dog","Schnauzer, Miniature / Mix","Black / Grey","No / Male","4202","Expired","4/27/2016 1:00:00 AM","Dog License No S/N","DC Department of Health","$50.00","","6/30/2013","No","","","",""
"525","A19251952","Chino","8/28/2012","Dog","Terrier, Pit Bull / Mix","Brindle / Brindle","No / Male","4703","Expired","4/27/2016 1:00:00 AM","Dog License No S/N","National Capital Area Spay and Neuter Center","$50.00","","6/30/2013","No","","","",""
"528","A19262773","Xha-Xha","3/1/2008","Dog","Terrier, Boston","Black / White","No / Female","3578","Expired","4/27/2016 1:00:00 AM","Dog License No S/N","DC Department of Health","$50.00","","6/30/2013","No","","","",""
"531","A19129069","Dux","9/10/2002","Dog","German Shepherd / Mix","Black / Tan","No / Male","0917","Expired","4/27/2016 1:00:00 AM","Dog License No S/N","DC Department of Health","$50.00","","6/30/2013","No","","","",""
"534","A19129288","Reilly","","Dog","Spaniel, American Cocker / Mix","Brown / White","No / Male","0994","Expired","4/27/2016 1:00:00 AM","Dog License No S/N","DC Department of Health","$50.00","","6/30/2013","No","","","",""
"537","A19130824","Trigger","1/21/2007","Dog","Retriever, Chesapeake Bay / Mix","Brown","No / Male","0973","Expired","4/27/2016 1:00:00 AM","Dog License No S/N","DC Department of Health","$50.00","","6/30/2013","No","","","",""
"540","A19131175","Rocko","10/12/2002","Dog","Belgian Malinois / Mix","Fawn","No / Male","0984","Expired","4/27/2016 1:00:00 AM","Dog License No S/N","DC Department of Health","$50.00","","6/30/2013","No","","","",""
"543","A18702295","Jefe","12/11/2010","Dog","Poodle, Miniature / Mix","Grey","No / Male","1612","Expired","4/27/2016 1:00:00 AM","Dog License No S/N","DPJ","$50.00","","6/30/2013","No","","","",""
"546","A19396801","Sussie","","Dog","Setter, English / Mix","Black / White","No / Female","3464","Expired","4/27/2016 1:00:00 AM","Dog License No S/N","DC Department of Health","$50.00","","6/30/2013","No","","","",""
"549","A19564722","Gus","4/2/2012","Dog","Terrier / Mix","Brindle","No / Male","1358","Expired","4/27/2016 1:00:00 AM","Dog License No S/N","DC Department of Health","$50.00","","6/30/2013","No","","","",""
"552","A19555672","Blueberry","4/1/2012","Dog","Terrier, American Pit Bull / Mix","Tan / White","No / Male","5013","Expired","4/27/2016 1:00:00 AM","Dog License No S/N","DC Department of Health","$50.00","","6/30/2013","No","","","",""
"555","A19232692","Sam","2/25/2012","Dog","Terrier, Pit Bull / Mix","Tan","No / Male","4934","Expired","4/27/2016 1:00:00 AM","Dog License No S/N","National Capital Area Spay and Neuter Center","$50.00","","6/30/2013","No","","","",""
"558","A19648735","Sheba","4/14/2002","Dog","Retriever, Labrador / Terrier, Pit Bull","Tan","No / Female","1425","Expired","4/27/2016 1:00:00 AM","Dog License No S/N","DC Department of Health","$50.00","","6/30/2013","No","","","",""
"561","A19351210","Tioga","","Dog","Retriever, Golden","Golden","No / Male","3126","Inactive","12/17/2013 3:15:26 PM","Dog License No S/N","DC Department of Health","$50.00","","6/30/2013","No","","","",""
"564","A19700744","Danny Boy","10/21/2012","Dog","Shepherd / Mix","Black","Yes / Male","4309","Expired","4/27/2016 1:00:00 AM","Dog License No S/N","WHS-WARL","$50.00","","6/30/2013","No","","","",""
"567","A19435838","Princess","3/18/2012","Dog","Terrier, Pit Bull / Mix","Brown / Black","No / Female","3189","Expired","4/27/2016 1:00:00 AM","Dog License No S/N","DC Department of Health","$50.00","","6/30/2013","No","","","",""
"570","A19491390","Loki","9/24/2010","Dog","Terrier, Pit Bull / Mix","White / Brown","No / Male","4501","Expired","4/27/2016 1:00:00 AM","Dog License No S/N","DC Department of Health","$50.00","","6/30/2013","No","","","",""
"573","A19485656","Clyde","","Dog","Bulldog / Mix","White / Black","No / Male","0145","Expired","4/27/2016 1:00:00 AM","Dog License No S/N","DC Department of Health","$50.00","","6/30/2013","No","","","",""
"576","A19396926","Tango","3/12/2009","Dog","Belgian Tervuren / Mix","Mahogany / Black","No / Male","3468","Expired","4/27/2016 1:00:00 AM","Dog License No S/N","DC Department of Health","$50.00","","6/30/2013","No","","","",""
"579","A19649781","Patches","4/14/2005","Dog","Terrier, Pit Bull / Mix","Brown / White","No / Female","4512","Expired","4/27/2016 1:00:00 AM","Dog License No S/N","National Capital Area Spay and Neuter Center","$50.00","","6/30/2013","No","","","",""
"582","A19144849","Kenish","","Dog","Shih Tzu / Mix","Black","No / Male","1144","Inactive","12/17/2013 3:09:25 PM","Dog License No S/N","DC Department of Health","$50.00","","6/30/2013","No","","","",""
"585","A19271163","Rocky","3/2/2012","Dog","Terrier, Pit Bull / Mix","Black","No / Male","4276","Expired","4/27/2016 1:00:00 AM","Dog License No S/N","WHS-WARL","$50.00","","6/30/2013","No","","","",""
"588","A19267998","Jake","11/29/2010","Dog","Basenji / Mix","Black / Brown","No / Male","2186","Expired","4/27/2016 1:00:00 AM","Dog License No S/N","DC Department of Health","$50.00","","6/30/2013","No","","","",""
"591","A19540279","Sunny","5/12/2007","Dog","Retriever, Labrador / Mix","Yellow","No / Male","3012","Expired","4/27/2016 1:00:00 AM","Dog License No S/N","DC Department of Health","$50.00","","6/30/2013","No","","","",""
"594","A19271397","Buddy","3/2/2011","Dog","Beagle / Mix","Black / Tan","Yes / Male","4290","Expired","4/27/2016 1:00:00 AM","Dog License No S/N","WHS-WARL","$50.00","","6/30/2013","No","","","",""
"597","A19200345","Laika","9/30/2006","Dog","Portuguese Water Dog","Black","No / Male","1507","Expired","4/27/2016 1:00:00 AM","Dog License No S/N","DC Department of Health","$50.00","","6/30/2013","No","","","",""
"600","A19555619","Tiger","4/1/2011","Dog","Cane Corso / Mix","Grey / Tan","No / Male","4522","Inactive","1/29/2014 12:07:29 PM","Dog License No S/N","DC Department of Health","$50.00","","6/30/2013","No","","","",""
"603","A19397112","Chauncey","9/2/2001","Dog","Collie, Rough / Mix","Sable / White","No / Male","3471","Inactive","9/2/2013 3:25:58 PM","Dog License No S/N","DC Department of Health","$50.00","","6/30/2013","No","LIC Rabies","10/6/2014","10/6/2017",""
"606","A31172183","Hank","3/26/2012","Dog","Terrier, Pit Bull / Mix","Brown / White","Yes / Male","5869","Inactive","11/5/2015 12:56:09 PM","Dog License No S/N","DCACC","$50.00","","6/30/2013","No","*Rabies","11/5/2015","11/5/2016","Kelli Pearsall"
"609","A19400376","Lily","11/11/2010","Dog","Retriever, Labrador","Yellow","Yes / Female","3020","Expired","4/27/2016 1:00:00 AM","Dog License No S/N","DC Department of Health","$50.00","","6/30/2013","No","","","",""
"612","A15538690","Low Key","1/1/2006","Dog","Poodle, Miniature / Mix","Black / White","No / Male","3915","Expired","3/3/2013 12:00:00 AM","Dog License No S/N","DC","$50.00","","3/3/2013","No","VAC RABIES","3/3/2012","","Florencia Franzini"
